VPNr, Trial, Amount, Image, Response, Correct, Time
77,396,43,Volkspark,Volkspark,1,2.170727e+00
77,397,42,Fenster,Fenster,1,1.639179e+00
77,398,41,Fenster,Fenster,1,2.233375e+00
77,399,40,Blumen,Blumen,1,2.588533e+00
77,400,39,Egypt,Egypt,1,2.894171e+00
77,401,38,Fische,Lift,0,4.006665e+00
77,402,41,Blumen,Blumen,1,1.819841e+00
77,403,40,Sanssouci,Sanssouci,1,5.333990e+00
77,404,39,Volkspark,Volkspark,1,2.208992e+00
77,405,38,Fenster,Fenster,1,2.049941e+00
77,406,37,Volkspark,Volkspark,1,1.669702e+00
77,407,36,Egypt,Fenster,0,2.836082e+00
77,408,39,Br_Tor,Br_Tor,1,2.216005e+00
77,409,38,Abend,Abend,1,1.779378e+00
77,410,37,Br_Tor,Br_Tor,1,2.334826e+00
77,411,36,Fenster,Fenster,1,1.988692e+00
77,412,35,Abend,Abend,1,1.842699e+00
77,413,34,Sanssouci,Sanssouci,1,2.237617e+00
77,414,33,Br_Tor,Br_Tor,1,2.370148e+00
77,415,32,Br_Tor,Volkspark,0,3.196175e+00
77,416,35,Fische,Lift,0,3.411237e+00
77,417,38,Fenster,Fenster,1,2.745612e+00
77,418,37,Abend,Abend,1,2.141045e+00
77,419,36,Fische,Fische,1,2.340683e+00
77,420,35,Fenster,Fenster,1,1.749125e+00
77,421,34,Blumen,Blumen,1,1.880918e+00
77,422,33,Fische,Egypt,0,3.209919e+00
77,423,36,Blumen,Blumen,1,1.920380e+00
77,424,35,Blumen,Blumen,1,2.061331e+00
77,425,34,Vogel,Fische,0,6.426838e+00
77,426,37,Fenster,Blumen,0,1.887991e+00
77,427,40,Sanssouci,Abend,0,2.966132e+00
77,428,43,Lift,Fische,0,2.894792e+00
77,429,46,Br_Tor,Br_Tor,1,1.990019e+00
77,430,45,Br_Tor,Br_Tor,1,1.984440e+00
77,431,44,Volkspark,Volkspark,1,2.045426e+00
77,432,43,Fenster,Fenster,1,1.548346e+00
77,433,42,Vogel,Vogel,1,2.812170e+00
77,434,41,Vogel,Vogel,1,2.235871e+00
77,435,40,Egypt,Fische,0,2.153699e+00
77,436,43,Egypt,Egypt,1,1.966353e+00
77,437,42,Volkspark,Volkspark,1,1.897588e+00
77,438,41,Vogel,Lift,0,7.191780e+00
77,439,44,Br_Tor,Br_Tor,1,2.331832e+00
77,440,43,Vogel,Vogel,1,2.531730e+00
77,441,42,Sanssouci,Sanssouci,1,2.394553e+00
77,442,41,Fische,Fische,1,2.200033e+00
77,443,40,Abend,Abend,1,1.689310e+00
77,444,39,Br_Tor,Egypt,0,3.288813e+00
77,445,42,Volkspark,Volkspark,1,1.781017e+00
77,446,41,Fenster,Fenster,1,1.759936e+00
77,447,40,Vogel,Br_Tor,0,5.250601e+00
77,448,43,Volkspark,Volkspark,1,1.506569e+00
77,449,42,Sanssouci,Sanssouci,1,2.295853e+00
